dataset,path,original_class,label,included_six_class,width,height,mode,sha256,file_size,duplicate_group_size,is_exact_duplicate,cross_label_conflict,within_dataset_duplicate_rank,eligible_after_dedup
garbage_v2,/content/waste_datasets/garbage_v2/original/metal/metal_727.jpg,metal,metal,True,512,384,RGB,010951f3951c2ec38c5ee138f620c5ee83bf032e36944959ad028ae8f80e5b2a,28231,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/metal/metal182.jpg,metal,metal,True,512,384,RGB,010951f3951c2ec38c5ee138f620c5ee83bf032e36944959ad028ae8f80e5b2a,28231,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/metal/metal236.jpg,metal,metal,True,512,384,RGB,010951f3951c2ec38c5ee138f620c5ee83bf032e36944959ad028ae8f80e5b2a,28231,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_473.jpg,glass,glass,True,512,384,RGB,0112afaa0a92911ec345fbf99723dad11d1b7005cb0d923b2526cb4cb33cc56c,14615,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/green-glass/green-glass150.jpg,green-glass,glass,True,512,384,RGB,0112afaa0a92911ec345fbf99723dad11d1b7005cb0d923b2526cb4cb33cc56c,14615,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/glass/glass162.jpg,glass,glass,True,512,384,RGB,0112afaa0a92911ec345fbf99723dad11d1b7005cb0d923b2526cb4cb33cc56c,14615,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/plastic/plastic_1064.jpg,plastic,plastic,True,225,225,RGB,011c2f57237659cdcafa68ef273d1b91e62c006f73c9c68d6f7213cb0c5f27be,2599,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/plastic/plastic710.jpg,plastic,plastic,True,225,225,RGB,011c2f57237659cdcafa68ef273d1b91e62c006f73c9c68d6f7213cb0c5f27be,2599,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_1092.jpg,cardboard,cardboard,True,257,196,RGB,012632f435b5a1a30e4be24c117cb7a39bf95175fdd8ac4c290f17bdbe045c1f,4255,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard545.jpg,cardboard,cardboard,True,257,196,RGB,012632f435b5a1a30e4be24c117cb7a39bf95175fdd8ac4c290f17bdbe045c1f,4255,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/brown-glass/brown-glass253.jpg,brown-glass,glass,True,512,384,RGB,012aa0ac30af6c1f186d7b8b89350b17daa7cebe05722c4e8dd781b9f992e4e2,11049,2,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/glass/glass45.jpg,glass,glass,True,512,384,RGB,012aa0ac30af6c1f186d7b8b89350b17daa7cebe05722c4e8dd781b9f992e4e2,11049,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_1236.jpg,clothes,,False,400,534,RGB,012cc14d70898ca2ae3b2a13395809869281382d142e478e5b528366a2506307,37670,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes493.jpg,clothes,,False,400,534,RGB,012cc14d70898ca2ae3b2a13395809869281382d142e478e5b528366a2506307,37670,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_338.jpg,clothes,,False,400,533,RGB,012e28a205e77fb5f751dfe9d4f45d10ce17d1f94ecfd724d479360808ace9db,56797,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes2389.jpg,clothes,,False,400,533,RGB,012e28a205e77fb5f751dfe9d4f45d10ce17d1f94ecfd724d479360808ace9db,56797,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_1811.jpg,clothes,,False,400,533,RGB,0130999ec166b866ac8f9aafa2ff76b6d15f8ebeabb051c74733add7c4d8c0f4,23949,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes4918.jpg,clothes,,False,400,533,RGB,0130999ec166b866ac8f9aafa2ff76b6d15f8ebeabb051c74733add7c4d8c0f4,23949,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/cardboard/cardboard_376.jpg,cardboard,cardboard,True,300,168,RGB,0134d3f9f5d071cd6bfcd54a8b3ee9ae93746a878f54e616165930fb4a03a5e3,4233,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/cardboard/cardboard647.jpg,cardboard,cardboard,True,300,168,RGB,0134d3f9f5d071cd6bfcd54a8b3ee9ae93746a878f54e616165930fb4a03a5e3,4233,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_925.jpg,glass,glass,True,225,225,RGB,013cffe22032ab85537603d50a77059ad1cf84538e16b06645b81d2a22619842,3055,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/brown-glass/brown-glass16.jpg,brown-glass,glass,True,225,225,RGB,013cffe22032ab85537603d50a77059ad1cf84538e16b06645b81d2a22619842,3055,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_778.jpg,clothes,,False,533,400,RGB,0152ec2ee85850e2a76ac73e63383608eb5a0b5b40aa5f1d9c78429c13c72798,26838,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes1286.jpg,clothes,,False,533,400,RGB,0152ec2ee85850e2a76ac73e63383608eb5a0b5b40aa5f1d9c78429c13c72798,26838,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/paper/paper_236.jpg,paper,paper,True,512,384,RGB,0154670a99ea33a7df713e3c1d46b3ddbaae489fe243844947b242e395041fe8,26990,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/paper/paper555.jpg,paper,paper,True,512,384,RGB,0154670a99ea33a7df713e3c1d46b3ddbaae489fe243844947b242e395041fe8,26990,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/paper/paper183.jpg,paper,paper,True,512,384,RGB,0154670a99ea33a7df713e3c1d46b3ddbaae489fe243844947b242e395041fe8,26990,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_601.jpg,battery,,False,225,225,RGB,015b50c5fab123a5cd3076f0b2b4d8ee2eaa39451a4fdb37b5e3fe50a6e9bf66,5873,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery607.jpg,battery,,False,225,225,RGB,015b50c5fab123a5cd3076f0b2b4d8ee2eaa39451a4fdb37b5e3fe50a6e9bf66,5873,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_62.jpg,shoes,,False,274,184,RGB,0163108bc024daa3b8bd6441854ada9d1a191159784907eff58ec0be01539028,7767,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes791.jpg,shoes,,False,274,184,RGB,0163108bc024daa3b8bd6441854ada9d1a191159784907eff58ec0be01539028,7767,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_343.jpg,clothes,,False,400,533,RGB,016b53ce53831d176baaef3dc6c074e1a389ff86fc748653021115efc5d80271,20142,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes3738.jpg,clothes,,False,400,533,RGB,016b53ce53831d176baaef3dc6c074e1a389ff86fc748653021115efc5d80271,20142,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/trash/trash_434.jpg,trash,trash,True,512,384,RGB,016c256ade2e52c40791cd3fca036b17e3e01219c80a2f7a4798dd055b2b9ecf,10933,2,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/trash/trash24.jpg,trash,trash,True,512,384,RGB,016c256ade2e52c40791cd3fca036b17e3e01219c80a2f7a4798dd055b2b9ecf,10933,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/clothes/clothes_1801.jpg,clothes,,False,400,534,RGB,01710928d7e93faf2ee900ac5ad90f3da3760bf79b8001dfcbb9e20e05dc2c6f,13912,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/clothes/clothes2530.jpg,clothes,,False,400,534,RGB,01710928d7e93faf2ee900ac5ad90f3da3760bf79b8001dfcbb9e20e05dc2c6f,13912,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_95.jpg,glass,glass,True,276,183,RGB,0171b0c4ec351051186b0be89b39927357c5a8ce90843c799f6ff16250e93d2e,12046,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/white-glass/white-glass135.jpg,white-glass,glass,True,276,183,RGB,0171b0c4ec351051186b0be89b39927357c5a8ce90843c799f6ff16250e93d2e,12046,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_1402.jpg,glass,glass,True,512,384,RGB,01ab3f001cc739fff5eeb801be46140c80d43a4577384ff20a1acef9f446cf84,16389,3,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/white-glass/white-glass759.jpg,white-glass,glass,True,512,384,RGB,01ab3f001cc739fff5eeb801be46140c80d43a4577384ff20a1acef9f446cf84,16389,3,True,False,0,True
trashnet,/content/waste_datasets/trashnet/dataset-resized/glass/glass174.jpg,glass,glass,True,512,384,RGB,01ab3f001cc739fff5eeb801be46140c80d43a4577384ff20a1acef9f446cf84,16389,3,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_520.jpg,battery,,False,239,211,RGB,01b0aa74777a6186f18bb5e1ba48cf9cf4e878928b36f773ac171dbccafae479,14356,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery201.jpg,battery,,False,239,211,RGB,01b0aa74777a6186f18bb5e1ba48cf9cf4e878928b36f773ac171dbccafae479,14356,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/glass/glass_1730.jpg,glass,glass,True,292,173,RGB,01b26fd104e88e3faa900465d8d70244a01e88ea853d48e80218951adde58945,5407,2,True,False,0,True
household,/content/waste_datasets/household/garbage_classification/green-glass/green-glass379.jpg,green-glass,glass,True,292,173,RGB,01b26fd104e88e3faa900465d8d70244a01e88ea853d48e80218951adde58945,5407,2,True,False,0,True
garbage_v2,/content/waste_datasets/garbage_v2/original/battery/battery_328.jpg,battery,,False,232,217,RGB,01b7faa3f981824bf2bd9a3ae097b1dc5940d1eb9bbf0d98517e346038b455fc,11223,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/battery/battery863.jpg,battery,,False,232,217,RGB,01b7faa3f981824bf2bd9a3ae097b1dc5940d1eb9bbf0d98517e346038b455fc,11223,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_7.jpg,shoes,,False,225,225,RGB,01bbe7eb1a4caebe123216f1cfd92da90efc18d9d560fbc2177be3879808b19f,4276,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes163.jpg,shoes,,False,225,225,RGB,01bbe7eb1a4caebe123216f1cfd92da90efc18d9d560fbc2177be3879808b19f,4276,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_698.jpg,shoes,,False,400,534,RGB,01c6d663c9ca4d30595aeda7e0dd08f25788e2d2106fd33d7149ab5b70b7add7,33225,2,True,False,0,False
household,/content/waste_datasets/household/garbage_classification/shoes/shoes858.jpg,shoes,,False,400,534,RGB,01c6d663c9ca4d30595aeda7e0dd08f25788e2d2106fd33d7149ab5b70b7add7,33225,2,True,False,0,False
garbage_v2,/content/waste_datasets/garbage_v2/original/shoes/shoes_871.jpg,shoes,,False,259,194,RGB,01cb05b18e31da74ec178bd1428309a35d3ce8ae6765ac7f240378f972b7505c,2703,2,True,False,0,False
